ID,time,MRGSIM,NONMEM,diff
10,30,6233.4,6233.4,0
10,31,6191.7,6191.7,0
10,32,6152.3,6152.3,0
10,33,6114.9,6114.9,0
10,34,6079.6,6079.6,0
10,35,6046.1,6046.1,0
10,36,6014.5,6014.5,0
10,37,6081.8,6081.8,0
10,38,6145.5,6145.5,0
10,39,6205.9,6205.9,0
10,40,6263,6263,0
10,41,6277.4,6277.4,0
10,42,6233.4,6233.4,0
10,43,6191.7,6191.7,0
10,44,6152.3,6152.3,0
10,45,6114.9,6114.9,0
10,46,6079.6,6079.6,0
10,47,6046.1,6046.1,0
10,48,6014.5,6014.5,0
10,49,6081.8,6081.8,0
10,50,6145.5,6145.5,0
10,51,6205.9,6205.9,0
10,52,6263,6263,0
10,53,6277.4,6277.4,0
10,54,6233.4,6233.4,0
10,55,6191.7,6191.7,0
10,56,6152.3,6152.3,0
10,57,6114.9,6114.9,0
10,58,6079.6,6079.6,0
10,59,6046.1,6046.1,0
10,60,6014.5,6014.5,0
10,61,5984.5,5984.5,0
10,62,5956.2,5956.2,0
10,63,5929.3,5929.3,0
10,64,5903.9,5903.9,0
10,65,5840.3,5840.3,0
10,66,5722.4,5722.4,0
10,67,5610.7,5610.7,0
10,68,5505.1,5505.1,0
10,69,5405.1,5405.1,0
10,70,5310.4,5310.4,0
10,71,5220.8,5220.8,0
10,72,5136,5136,0
10,73,5055.8,5055.8,0
10,74,4979.8,4979.8,0
10,75,4907.9,4907.9,0
10,76,4839.9,4839.9,0
10,77,4735.9,4735.9,0
10,78,4579.8,4579.8,0
10,79,4432,4432,0
10,80,4292.1,4292.1,0
10,81,4159.7,4159.7,0
10,82,4034.4,4034.4,0
10,83,3915.8,3915.8,0
10,84,3803.5,3803.5,0
10,85,3697.3,3697.3,0
10,86,3596.7,3596.7,0
10,87,3501.6,3501.6,0
10,88,3411.5,3411.5,0
10,89,3286.6,3286.6,0
10,90,3110.8,3110.8,0
10,91,2944.3,2944.3,0
10,92,2786.7,2786.7,0
10,93,2637.6,2637.6,0
10,94,2496.4,2496.4,0
10,95,2362.8,2362.8,0
10,96,2236.4,2236.4,0
10,97,2116.7,2116.7,0
10,98,2003.4,2003.4,0
10,99,1896.2,1896.2,0
10,100,1794.8,1794.8,0
10,101,1698.7,1698.7,0
10,102,1607.8,1607.8,0
10,103,1521.8,1521.8,0
10,104,1440.3,1440.3,0
10,105,1363.2,1363.2,0
10,106,1290.3,1290.3,0
10,107,1221.2,1221.2,0
10,108,1155.9,1155.9,0
10,109,1094,1094,0
10,110,1035.5,1035.5,0
10,111,980.07,980.07,0
10,112,927.62,927.62,0
10,113,877.98,877.98,0
10,114,830.99,830.99,0
10,115,786.52,786.52,0
10,116,744.43,744.43,0
10,117,704.6,704.6,0
10,118,666.89,666.89,0
10,119,631.2,631.2,0
10,120,597.42,597.42,0
10,121,565.45,565.45,0
10,122,535.19,535.19,0
10,123,506.55,506.55,0
10,124,479.44,479.44,0
10,125,453.78,453.78,0
10,126,429.5,429.5,0
10,127,406.52,406.52,0
10,128,384.76,384.76,0
10,129,364.17,364.17,0
10,130,344.68,344.68,0
11,0,7498.9,7498.9,0
11,0,7498.9,7498.9,0
11,1,7584.1,7584.1,0
11,2,7664.7,7664.7,0
11,3,7643.7,7643.7,0
11,4,7623.9,7623.9,0
11,5,7605.1,7605.1,0
11,6,7587.3,7587.3,0
11,7,7570.5,7570.5,0
11,8,7554.5,7554.5,0
11,9,7539.5,7539.5,0
11,10,7525.2,7525.2,0
11,11,7511.7,7511.7,0
11,12,7498.9,7498.9,0
11,13,7584.1,7584.1,0
11,14,7664.7,7664.7,0
11,15,7643.7,7643.7,0
11,16,7623.9,7623.9,0
11,17,7605.1,7605.1,0
11,18,7587.3,7587.3,0
11,19,7570.5,7570.5,0
11,20,7554.5,7554.5,0
11,21,7539.5,7539.5,0
11,22,7525.2,7525.2,0
11,23,7511.7,7511.7,0
11,24,7498.9,7498.9,0
11,25,7584.1,7584.1,0
11,26,7664.7,7664.7,0
11,27,7643.7,7643.7,0
11,28,7623.9,7623.9,0
11,29,7605.1,7605.1,0
11,30,7587.3,7587.3,0
11,31,7570.5,7570.5,0
11,32,7554.5,7554.5,0
11,33,7539.5,7539.5,0
11,34,7525.2,7525.2,0
11,35,7511.7,7511.7,0
11,36,7498.9,7498.9,0
11,37,7584.1,7584.1,0
11,38,7664.7,7664.7,0
11,39,7643.7,7643.7,0
11,40,7623.9,7623.9,0
11,41,7605.1,7605.1,0
11,42,7587.3,7587.3,0
11,43,7570.5,7570.5,0
11,44,7554.5,7554.5,0
11,45,7539.5,7539.5,0
11,46,7525.2,7525.2,0
11,47,7511.7,7511.7,0
11,48,7498.9,7498.9,0
11,49,7486.8,7486.8,0
11,50,7475.3,7475.3,0
11,51,7367.2,7367.2,0
11,52,7264.8,7264.8,0
11,53,7168,7168,0
11,54,7076.3,7076.3,0
11,55,6989.5,6989.5,0
11,56,6907.3,6907.3,0
11,57,6829.6,6829.6,0
11,58,6756,6756,0
11,59,6686.4,6686.4,0
11,60,6620.4,6620.4,0
11,61,6558,6558,0
11,62,6499,6499,0
11,63,6345.8,6345.8,0
11,64,6200.8,6200.8,0
11,65,6063.6,6063.6,0
11,66,5933.7,5933.7,0
11,67,5810.7,5810.7,0
11,68,5694.4,5694.4,0
11,69,5584.2,5584.2,0
11,70,5480,5480,0
11,71,5381.3,5381.3,0
11,72,5288,5288,0
11,73,5199.6,5199.6,0
11,74,5115.9,5115.9,0
11,75,4939.4,4939.4,0
11,76,4772.4,4772.4,0
11,77,4614.3,4614.3,0
11,78,4464.7,4464.7,0
11,79,4323,4323,0
11,80,4189,4189,0
11,81,4062.1,4062.1,0
11,82,3942,3942,0
11,83,3828.4,3828.4,0
11,84,3720.8,3720.8,0
11,85,3619,3619,0
11,86,3522.6,3522.6,0
11,87,3334.1,3334.1,0
11,88,3155.7,3155.7,0
11,89,2986.8,2986.8,0
11,90,2827,2827,0
11,91,2675.7,2675.7,0
11,92,2532.5,2532.5,0
11,93,2397,2397,0
11,94,2268.7,2268.7,0
11,95,2147.3,2147.3,0
11,96,2032.4,2032.4,0
11,97,1923.6,1923.6,0
11,98,1820.7,1820.7,0
11,99,1723.2,1723.2,0
11,100,1631,1631,0
11,101,1543.7,1543.7,0
11,102,1461.1,1461.1,0
11,103,1382.9,1382.9,0
11,104,1308.9,1308.9,0
11,105,1238.9,1238.9,0
11,106,1172.6,1172.6,0
11,107,1109.8,1109.8,0
11,108,1050.4,1050.4,0
11,109,994.22,994.22,0
11,110,941.02,941.02,0
11,111,890.66,890.66,0
11,112,842.99,842.99,0
11,113,797.88,797.88,0
11,114,755.18,755.18,0
11,115,714.77,714.77,0
11,116,676.52,676.52,0
11,117,640.32,640.32,0
11,118,606.05,606.05,0
11,119,573.62,573.62,0
11,120,542.92,542.92,0
11,121,513.86,513.86,0
11,122,486.37,486.37,0
11,123,460.34,460.34,0
11,124,435.7,435.7,0
11,125,412.39,412.39,0
11,126,390.32,390.32,0
11,127,369.43,369.43,0
11,128,349.66,349.66,0
11,129,330.95,330.95,0
11,130,313.24,313.24,0
12,0,15152,15152,0
12,0,15152,15152,0
12,1,15152,15152,0
12,2,15152,15152,0
12,3,15152,15152,0
12,4,15152,15152,0
12,5,15152,15152,0
12,6,15152,15152,0
12,7,15152,15152,0
12,8,15152,15152,0
12,9,15152,15152,0
12,10,15152,15152,0
12,11,15152,15152,0
12,12,15152,15152,0
12,13,15152,15152,0
12,14,15152,15152,0
12,15,15152,15152,0
12,16,15152,15152,0
12,17,15152,15152,0
12,18,15152,15152,0
12,19,15152,15152,0
12,20,15152,15152,0
12,21,15152,15152,0
12,22,15152,15152,0
12,23,15152,15152,0
12,24,15152,15152,0
12,25,15152,15152,0
12,26,15152,15152,0
12,27,15152,15152,0
12,28,15152,15152,0
12,29,15152,15152,0
12,30,15152,15152,0
12,31,15152,15152,0
12,32,15152,15152,0
12,33,15152,15152,0
12,34,15152,15152,0
12,35,15152,15152,0
12,36,15152,15152,0
12,37,15152,15152,0
12,38,15152,15152,0
12,39,15152,15152,0
12,40,15152,15152,0
12,41,15152,15152,0
12,42,15152,15152,0
12,43,15152,15152,0
12,44,15152,15152,0
12,45,15152,15152,0
12,46,15152,15152,0
12,47,15152,15152,0
12,48,15152,15152,0
12,49,15152,15152,0
12,50,15152,15152,0
12,51,15152,15152,0
12,52,15152,15152,0
12,53,15152,15152,0
12,54,15152,15152,0
12,55,15152,15152,0
12,56,15152,15152,0
12,57,15152,15152,0
12,58,15152,15152,0
12,59,15152,15152,0
12,60,15152,15152,0
12,61,15152,15152,0
12,62,15152,15152,0
12,63,15152,15152,0
12,64,15152,15152,0
12,65,15152,15152,0
12,66,15152,15152,0
12,67,15152,15152,0
12,68,15152,15152,0
12,69,15152,15152,0
12,70,15152,15152,0
12,71,15152,15152,0
12,72,15152,15152,0
12,73,15152,15152,0
12,74,15152,15152,0
12,75,15152,15152,0
12,76,15152,15152,0
12,77,15152,15152,0
12,78,15152,15152,0
12,79,14746,14746,0
12,80,14362,14362,0
12,81,13999,13999,0
12,82,13655,13655,0
12,83,13330,13330,0
12,84,13022,13022,0
12,85,12325,12325,0
12,86,11666,11666,0
12,87,11041,11041,0
12,88,10451,10451,0
12,89,9891.3,9891.3,0
12,90,9361.9,9361.9,0
12,91,8860.9,8860.9,0
12,92,8386.8,8386.8,0
12,93,7937.9,7937.9,0
12,94,7513.1,7513.1,0
12,95,7111.1,7111.1,0
12,96,6730.5,6730.5,0
12,97,6370.3,6370.3,0
12,98,6029.4,6029.4,0
12,99,5706.8,5706.8,0
12,100,5401.4,5401.4,0
12,101,5112.3,5112.3,0
12,102,4838.7,4838.7,0
12,103,4579.8,4579.8,0
12,104,4334.7,4334.7,0
12,105,4102.7,4102.7,0
12,106,3883.2,3883.2,0
12,107,3675.4,3675.4,0
12,108,3478.7,3478.7,0
12,109,3292.5,3292.5,0
12,110,3116.3,3116.3,0
12,111,2949.6,2949.6,0
12,112,2791.7,2791.7,0
12,113,2642.3,2642.3,0
12,114,2500.9,2500.9,0
12,115,2367.1,2367.1,0
12,116,2240.4,2240.4,0
12,117,2120.5,2120.5,0
12,118,2007,2007,0
12,119,1899.6,1899.6,0
12,120,1798,1798,0
12,121,1701.7,1701.7,0
12,122,1610.7,1610.7,0
12,123,1524.5,1524.5,0
12,124,1442.9,1442.9,0
12,125,1365.7,1365.7,0
12,126,1292.6,1292.6,0
12,127,1223.4,1223.4,0
12,128,1158,1158,0
12,129,1096,1096,0
12,130,1037.3,1037.3,0
13,0,3745.5,3745.5,0
13,0,3745.5,3745.5,0
13,1,3745.5,3745.5,0
13,2,3745.5,3745.5,0
13,3,3745.5,3745.5,0
13,4,3745.5,3745.5,0
13,5,3745.5,3745.5,0
13,6,3745.5,3745.5,0
13,7,3745.5,3745.5,0
13,8,3745.5,3745.5,0
13,9,3745.5,3745.5,0
13,10,3745.5,3745.5,0
13,11,3745.5,3745.5,0
13,12,3745.5,3745.5,0
13,13,3745.5,3745.5,0
13,14,3745.5,3745.5,0
13,15,3745.5,3745.5,0
13,16,3745.5,3745.5,0
13,17,3745.5,3745.5,0
13,18,3745.5,3745.5,0
13,19,3745.5,3745.5,0
13,20,3745.5,3745.5,0
13,21,3745.5,3745.5,0
13,22,3745.5,3745.5,0
13,23,3745.5,3745.5,0
13,24,3745.5,3745.5,0
13,25,3745.5,3745.5,0
13,26,3745.5,3745.5,0
13,27,3745.5,3745.5,0
13,28,3745.5,3745.5,0
13,29,3745.5,3745.5,0
13,30,3745.5,3745.5,0
13,31,3745.5,3745.5,0
13,32,3745.5,3745.5,0
13,33,3745.5,3745.5,0
13,34,3745.5,3745.5,0
13,35,3745.5,3745.5,0
13,36,3745.5,3745.5,0
13,37,3745.5,3745.5,0
13,38,3745.5,3745.5,0
